complex_id,sample_id,source,phase0_usable,failure_reason,ligand_heavy_atoms,num_pocket_atoms_6A,num_pocket_atoms_8A,min_ligand_protein_distance,num_obvious_clash_pairs,num_pairs_below_1_0,num_pairs_below_1_2,num_pairs_below_1_5,num_rgroups,num_valid_rgroups,num_single_anchor_rgroups,scaffold_num_atoms,split_group,split_group_source
complex_crossdocked_000001,complex_crossdocked_000001,crossdocked_subset,True,,23.0,49.0,119.0,2.7296454906463623,0.0,0.0,0.0,0.0,8.0,2.0,8.0,13.0,CDGT2_BACCI_28_713_0,target_id
complex_crossdocked_000002,complex_crossdocked_000002,crossdocked_subset,True,,23.0,56.0,157.0,2.734635591506958,0.0,0.0,0.0,0.0,8.0,2.0,8.0,13.0,CDGT2_BACCI_28_713_0,target_id
complex_crossdocked_000003,complex_crossdocked_000003,crossdocked_subset,True,,23.0,58.0,165.0,2.7292401790618896,0.0,0.0,0.0,0.0,8.0,2.0,8.0,13.0,CDGT2_BACCI_28_713_0,target_id
complex_crossdocked_000004,complex_crossdocked_000004,crossdocked_subset,True,,23.0,74.0,179.0,2.804155111312866,0.0,0.0,0.0,0.0,8.0,2.0,8.0,13.0,CDGT2_BACCI_28_713_0,target_id
complex_crossdocked_000005,complex_crossdocked_000005,crossdocked_subset,True,,23.0,64.0,151.0,2.7234346866607666,0.0,0.0,0.0,0.0,8.0,2.0,8.0,13.0,CDGT2_BACCI_28_713_0,target_id
complex_crossdocked_000006,complex_crossdocked_000006,crossdocked_subset,True,,23.0,59.0,162.0,2.7620348930358887,0.0,0.0,0.0,0.0,8.0,2.0,8.0,13.0,CDGT2_BACCI_28_713_0,target_id
complex_crossdocked_000007,complex_crossdocked_000007,crossdocked_subset,True,,23.0,61.0,155.0,2.814734935760498,0.0,0.0,0.0,0.0,8.0,2.0,8.0,13.0,CDGT2_BACCI_28_713_0,target_id
complex_crossdocked_000008,complex_crossdocked_000008,crossdocked_subset,True,,23.0,58.0,162.0,2.693502187728882,0.0,0.0,0.0,0.0,8.0,2.0,8.0,13.0,CDGT2_BACCI_28_713_0,target_id
complex_crossdocked_000009,complex_crossdocked_000009,crossdocked_subset,True,,23.0,60.0,159.0,2.7853190898895264,0.0,0.0,0.0,0.0,8.0,2.0,8.0,13.0,CDGT2_BACCI_28_713_0,target_id
complex_crossdocked_000010,complex_crossdocked_000010,crossdocked_subset,True,,23.0,55.0,165.0,2.749967575073242,0.0,0.0,0.0,0.0,8.0,2.0,8.0,13.0,CDGT2_BACCI_28_713_0,target_id
complex_crossdocked_000011,complex_crossdocked_000011,crossdocked_subset,True,,23.0,58.0,162.0,2.732670307159424,0.0,0.0,0.0,0.0,8.0,2.0,8.0,13.0,CDGT2_BACCI_28_713_0,target_id
complex_crossdocked_000012,complex_crossdocked_000012,crossdocked_subset,True,,23.0,40.0,135.0,2.7213518619537354,0.0,0.0,0.0,0.0,8.0,2.0,8.0,13.0,CDGT2_BACCI_28_713_0,target_id
complex_crossdocked_000013,complex_crossdocked_000013,crossdocked_subset,True,,23.0,64.0,170.0,2.719928503036499,0.0,0.0,0.0,0.0,8.0,2.0,8.0,13.0,CDGT2_BACCI_28_713_0,target_id
