sample_id,complex_id,source,receptor_scope,delta_angstrom,num_clash_pairs,num_severe_clash_pairs,total_clash_score,max_clash_depth,dominant_region,dominant_ratio,failure_type,recommended_action
complex_crossdocked_000001,complex_crossdocked_000001,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000001,complex_crossdocked_000001,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000002,complex_crossdocked_000002,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000002,complex_crossdocked_000002,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000003,complex_crossdocked_000003,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000003,complex_crossdocked_000003,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000004,complex_crossdocked_000004,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000004,complex_crossdocked_000004,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000005,complex_crossdocked_000005,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000005,complex_crossdocked_000005,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000006,complex_crossdocked_000006,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000006,complex_crossdocked_000006,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000007,complex_crossdocked_000007,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000007,complex_crossdocked_000007,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000008,complex_crossdocked_000008,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000008,complex_crossdocked_000008,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000009,complex_crossdocked_000009,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000009,complex_crossdocked_000009,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000010,complex_crossdocked_000010,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000010,complex_crossdocked_000010,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000011,complex_crossdocked_000011,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000011,complex_crossdocked_000011,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000012,complex_crossdocked_000012,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000012,complex_crossdocked_000012,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000013,complex_crossdocked_000013,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000013,complex_crossdocked_000013,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000014,complex_crossdocked_000014,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000014,complex_crossdocked_000014,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000015,complex_crossdocked_000015,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000015,complex_crossdocked_000015,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000016,complex_crossdocked_000016,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000016,complex_crossdocked_000016,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000017,complex_crossdocked_000017,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000017,complex_crossdocked_000017,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000018,complex_crossdocked_000018,crossdocked_subset,phase0_pocket8,0.4,1,0,0.08875646168598905,0.29792022705078125,,0.0,no_clash,no_repair_needed
complex_crossdocked_000018,complex_crossdocked_000018,crossdocked_subset,pocket10_all_atoms,0.4,1,0,0.08875646168598905,0.29792022705078125,,0.0,no_clash,no_repair_needed
complex_crossdocked_000019,complex_crossdocked_000019,crossdocked_subset,phase0_pocket8,0.4,10,0,0.2919429333115886,0.3960099220275879,,0.0,no_clash,no_repair_needed
complex_crossdocked_000019,complex_crossdocked_000019,crossdocked_subset,pocket10_all_atoms,0.4,10,0,0.2919429333115886,0.3960099220275879,,0.0,no_clash,no_repair_needed
complex_crossdocked_000020,complex_crossdocked_000020,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000020,complex_crossdocked_000020,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000021,complex_crossdocked_000021,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000021,complex_crossdocked_000021,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000022,complex_crossdocked_000022,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000022,complex_crossdocked_000022,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000023,complex_crossdocked_000023,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000023,complex_crossdocked_000023,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000024,complex_crossdocked_000024,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000024,complex_crossdocked_000024,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000025,complex_crossdocked_000025,crossdocked_subset,phase0_pocket8,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
complex_crossdocked_000025,complex_crossdocked_000025,crossdocked_subset,pocket10_all_atoms,0.4,0,0,0.0,0.0,,0.0,no_clash,no_repair_needed
