dataset_name,receptor_scope,delta_angstrom,num_samples,num_samples_with_any_clash_pair,num_samples_with_nonsevere_clash_pair,median_num_clash_pairs,p95_num_clash_pairs,max_num_clash_pairs,median_max_depth,p95_max_depth,max_depth
phase0_balanced_30_v0_1,phase0_pocket8,0.3,28,19,18,1.0,5.8999999999999915,12,0.019205212593078613,0.35373202562332134,0.49601006507873535
phase0_balanced_30_v0_1,phase0_pocket8,0.4,28,5,5,0.0,1.0,10,0.0,0.2537318825721739,0.3960099220275879
phase0_balanced_30_v0_1,phase0_pocket8,0.5,28,4,4,0.0,1.0,4,0.0,0.15373197793960552,0.29601001739501953
phase0_balanced_30_v0_1,pocket10_all_atoms,0.3,28,19,18,1.0,5.8999999999999915,12,0.019205212593078613,0.35373202562332134,0.49601006507873535
phase0_balanced_30_v0_1,pocket10_all_atoms,0.4,28,5,5,0.0,1.0,10,0.0,0.2537318825721739,0.3960099220275879
phase0_balanced_30_v0_1,pocket10_all_atoms,0.5,28,4,4,0.0,1.0,4,0.0,0.15373197793960552,0.29601001739501953
phase0_clean_pool_v0_1,phase0_pocket8,0.3,51,32,31,1.0,2.5,12,0.010759830474853516,0.2565044164657593,0.49601006507873535
phase0_clean_pool_v0_1,phase0_pocket8,0.4,51,5,5,0.0,1.0,10,0.0,0.15650427341461182,0.3960099220275879
phase0_clean_pool_v0_1,phase0_pocket8,0.5,51,4,4,0.0,1.0,4,0.0,0.05650436878204346,0.29601001739501953
phase0_clean_pool_v0_1,pocket10_all_atoms,0.3,51,32,31,1.0,2.5,12,0.010759830474853516,0.2565044164657593,0.49601006507873535
phase0_clean_pool_v0_1,pocket10_all_atoms,0.4,51,5,5,0.0,1.0,10,0.0,0.15650427341461182,0.3960099220275879
phase0_clean_pool_v0_1,pocket10_all_atoms,0.5,51,4,4,0.0,1.0,4,0.0,0.05650436878204346,0.29601001739501953
