dataset_name,receptor_scope,delta_angstrom,num_samples,num_samples_with_severe_clash,severe_false_positive_rate,median_total_clash_score,max_total_clash_score
phase0_balanced_30_v0_1,phase0_pocket8,0.3,28,1,0.03571428571428571,0.0003758092084638065,0.6524600966430398
phase0_balanced_30_v0_1,phase0_pocket8,0.4,28,0,0.0,0.0,0.2919429333115886
phase0_balanced_30_v0_1,phase0_pocket8,0.5,28,0,0.0,0.0,0.11774798498720429
phase0_balanced_30_v0_1,pocket10_all_atoms,0.3,28,1,0.03571428571428571,0.0003758092084638065,0.6524600966430398
phase0_balanced_30_v0_1,pocket10_all_atoms,0.4,28,0,0.0,0.0,0.2919429333115886
phase0_balanced_30_v0_1,pocket10_all_atoms,0.5,28,0,0.0,0.0,0.11774798498720429
phase0_clean_pool_v0_1,phase0_pocket8,0.3,51,1,0.0196078431372549,0.00011577395184758643,0.6524600966430398
phase0_clean_pool_v0_1,phase0_pocket8,0.4,51,0,0.0,0.0,0.2919429333115886
phase0_clean_pool_v0_1,phase0_pocket8,0.5,51,0,0.0,0.0,0.11774798498720429
phase0_clean_pool_v0_1,pocket10_all_atoms,0.3,51,1,0.0196078431372549,0.00011577395184758643,0.6524600966430398
phase0_clean_pool_v0_1,pocket10_all_atoms,0.4,51,0,0.0,0.0,0.2919429333115886
phase0_clean_pool_v0_1,pocket10_all_atoms,0.5,51,0,0.0,0.0,0.11774798498720429
