sample_id,complex_id,base_split,split_group,phase0_pocket8_num_severe,pocket10_all_atoms_num_severe,base_num_clash_pairs,base_num_nonsevere_clash_pairs,base_max_depth,base_total_clash_score,base_contact_level,num_valid_rgroups,num_single_anchor_rgroups,base_clean_pass,failure_reason
complex_crossdocked_000001,complex_crossdocked_000001,test,CDGT2_BACCI_28_713_0,0,0,0,0,0.0,0.0,no_contact,2,8,True,
complex_crossdocked_000002,complex_crossdocked_000002,test,CDGT2_BACCI_28_713_0,0,0,0,0,0.0,0.0,no_contact,2,8,True,
complex_crossdocked_000003,complex_crossdocked_000003,test,CDGT2_BACCI_28_713_0,0,0,0,0,0.0,0.0,no_contact,2,8,True,
complex_crossdocked_000004,complex_crossdocked_000004,test,CDGT2_BACCI_28_713_0,0,0,0,0,0.0,0.0,no_contact,2,8,True,
complex_crossdocked_000005,complex_crossdocked_000005,test,CDGT2_BACCI_28_713_0,0,0,0,0,0.0,0.0,no_contact,2,8,True,
complex_crossdocked_000006,complex_crossdocked_000006,test,CDGT2_BACCI_28_713_0,0,0,0,0,0.0,0.0,no_contact,2,8,True,
complex_crossdocked_000007,complex_crossdocked_000007,test,CDGT2_BACCI_28_713_0,0,0,0,0,0.0,0.0,no_contact,2,8,True,
complex_crossdocked_000008,complex_crossdocked_000008,test,CDGT2_BACCI_28_713_0,0,0,0,0,0.0,0.0,no_contact,2,8,True,
complex_crossdocked_000009,complex_crossdocked_000009,test,CDGT2_BACCI_28_713_0,0,0,0,0,0.0,0.0,no_contact,2,8,True,
complex_crossdocked_000010,complex_crossdocked_000010,test,CDGT2_BACCI_28_713_0,0,0,0,0,0.0,0.0,no_contact,2,8,True,
complex_crossdocked_000011,complex_crossdocked_000011,test,CDGT2_BACCI_28_713_0,0,0,0,0,0.0,0.0,no_contact,2,8,True,
complex_crossdocked_000012,complex_crossdocked_000012,test,CDGT2_BACCI_28_713_0,0,0,0,0,0.0,0.0,no_contact,2,8,True,
complex_crossdocked_000013,complex_crossdocked_000013,test,CDGT2_BACCI_28_713_0,0,0,0,0,0.0,0.0,no_contact,2,8,True,
complex_crossdocked_000014,complex_crossdocked_000014,test,CDGT2_BACCI_28_713_0,0,0,0,0,0.0,0.0,no_contact,2,8,True,
complex_crossdocked_000015,complex_crossdocked_000015,test,CDGT2_BACCI_28_713_0,0,0,0,0,0.0,0.0,no_contact,2,8,True,
complex_crossdocked_000016,complex_crossdocked_000016,test,CDGT2_BACCI_28_713_0,0,0,0,0,0.0,0.0,no_contact,2,8,True,
complex_crossdocked_000017,complex_crossdocked_000017,train,RARA_HUMAN_173_420_0,0,0,0,0,0.0,0.0,no_contact,3,3,True,
complex_crossdocked_000018,complex_crossdocked_000018,train,RARA_HUMAN_173_420_0,0,0,1,1,0.29792022705078125,0.08875646168598905,mild_contact,3,3,True,
complex_crossdocked_000019,complex_crossdocked_000019,train,RARA_HUMAN_173_420_0,0,0,10,10,0.3960099220275879,0.2919429333115886,mild_contact,3,3,True,
complex_crossdocked_000020,complex_crossdocked_000020,train,RARA_HUMAN_173_420_0,0,0,0,0,0.0,0.0,no_contact,3,3,True,
complex_crossdocked_000021,complex_crossdocked_000021,test,IPPK_MOUSE_1_468_0,0,0,0,0,0.0,0.0,no_contact,6,6,True,
complex_crossdocked_000022,complex_crossdocked_000022,test,IPPK_MOUSE_1_468_0,0,0,0,0,0.0,0.0,no_contact,5,6,True,
complex_crossdocked_000023,complex_crossdocked_000023,test,IPPK_MOUSE_1_468_0,0,0,0,0,0.0,0.0,no_contact,6,6,True,
complex_crossdocked_000024,complex_crossdocked_000024,test,IPPK_MOUSE_1_468_0,0,0,0,0,0.0,0.0,no_contact,5,6,True,
complex_crossdocked_000025,complex_crossdocked_000025,test,IPPK_MOUSE_1_468_0,0,0,0,0,0.0,0.0,no_contact,6,6,True,
complex_crossdocked_000026,complex_crossdocked_000026,val,RIP1_MOMCH_24_270_0,0,0,0,0,0.0,0.0,no_contact,2,8,True,
complex_crossdocked_000027,complex_crossdocked_000027,val,RIP1_MOMCH_24_270_0,0,0,0,0,0.0,0.0,no_contact,2,8,True,
complex_crossdocked_000028,complex_crossdocked_000028,val,RIP1_MOMCH_24_270_0,0,0,0,0,0.0,0.0,no_contact,2,8,True,
complex_crossdocked_000029,complex_crossdocked_000029,train,ODP1_ECOLI_2_887_0,0,0,1,1,0.09132885932922363,0.008340960546377119,mild_contact,2,5,True,
complex_crossdocked_000030,complex_crossdocked_000030,train,ODP1_ECOLI_2_887_0,0,0,1,1,0.17166781425476074,0.029469838451007035,mild_contact,2,5,True,
complex_crossdocked_000031,complex_crossdocked_000031,train,SMYD2_HUMAN_2_433_0,0,0,0,0,0.0,0.0,no_contact,3,4,True,
complex_crossdocked_000032,complex_crossdocked_000032,train,SMYD2_HUMAN_2_433_0,0,0,0,0,0.0,0.0,no_contact,3,4,True,
complex_crossdocked_000033,complex_crossdocked_000033,train,SMYD2_HUMAN_2_433_0,0,0,0,0,0.0,0.0,no_contact,3,4,True,
complex_crossdocked_000034,complex_crossdocked_000034,train,SMYD2_HUMAN_2_433_0,0,0,0,0,0.0,0.0,no_contact,3,5,True,
complex_crossdocked_000035,complex_crossdocked_000035,train,SMYD2_HUMAN_2_433_0,0,0,0,0,0.0,0.0,no_contact,3,4,True,
complex_crossdocked_000036,complex_crossdocked_000036,train,SMYD2_HUMAN_2_433_0,0,0,0,0,0.0,0.0,no_contact,3,4,True,
complex_crossdocked_000037,complex_crossdocked_000037,train,SMYD2_HUMAN_2_433_0,0,0,0,0,0.0,0.0,no_contact,3,5,True,
complex_crossdocked_000038,complex_crossdocked_000038,train,SMYD2_HUMAN_2_433_0,0,0,0,0,0.0,0.0,no_contact,3,4,True,
complex_crossdocked_000039,complex_crossdocked_000039,train,SMYD2_HUMAN_2_433_0,0,0,0,0,0.0,0.0,no_contact,3,4,True,
complex_crossdocked_000040,complex_crossdocked_000040,train,SMYD2_HUMAN_2_433_0,0,0,0,0,0.0,0.0,no_contact,3,4,True,
complex_crossdocked_000041,complex_crossdocked_000041,train,SMYD2_HUMAN_2_433_0,0,0,0,0,0.0,0.0,no_contact,3,5,True,
complex_crossdocked_000042,complex_crossdocked_000042,train,SMYD2_HUMAN_2_433_0,0,0,0,0,0.0,0.0,no_contact,3,5,True,
complex_crossdocked_000043,complex_crossdocked_000043,train,SMYD2_HUMAN_2_433_0,0,0,0,0,0.0,0.0,no_contact,3,5,True,
complex_crossdocked_000044,complex_crossdocked_000044,train,SMYD2_HUMAN_2_433_0,0,0,0,0,0.0,0.0,no_contact,3,5,True,
complex_crossdocked_000045,complex_crossdocked_000045,train,SMYD2_HUMAN_2_433_0,0,0,0,0,0.0,0.0,no_contact,3,5,True,
complex_crossdocked_000046,complex_crossdocked_000046,train,SMYD2_HUMAN_2_433_0,0,0,0,0,0.0,0.0,no_contact,3,5,True,
complex_crossdocked_000047,complex_crossdocked_000047,train,SMYD2_HUMAN_2_433_0,0,0,0,0,0.0,0.0,no_contact,3,4,True,
complex_crossdocked_000048,complex_crossdocked_000048,train,HEPB_PEDHD_25_772_0,0,0,0,0,0.0,0.0,no_contact,3,7,True,
complex_crossdocked_000049,complex_crossdocked_000049,train,HEPB_PEDHD_25_772_0,0,0,0,0,0.0,0.0,no_contact,3,7,True,
complex_crossdocked_000050,complex_crossdocked_000050,train,HEPB_PEDHD_25_772_0,0,0,0,0,0.0,0.0,no_contact,4,7,True,
complex_diffsbdd_5ndu,complex_diffsbdd_5ndu,train,complex_diffsbdd_5ndu,0,0,1,1,0.1413407325744629,0.019977202684685835,mild_contact,2,38,True,
