case_id,base_sample_id,base_complex_id,base_split,derived_split,split_group,target_id,source_dataset,injection_mode,attempt_id,seed,rotation_angle_deg,rotation_axis_atom_pair,transform_matrix,target_rgroup,target_atom_indices,anchor_scaffold_atom_idx,anchor_rgroup_atom_idx,anchor_bond_idx,oracle_split,difficulty_bin,difficulty_reason,acceptance_status,reject_reason,unsupported_reason,invalid_reason,duplicate_of,ligand_valid,rdkit_sanitize_ok,rotatable_bond_valid,anchor_integrity_pass,bond_length_valid,chirality_preserved,ligand_internal_severe_clash_count,forcefield_type,energy_original,energy_failed,energy_delta,energy_delta_pass,energy_check_status,scaffold_rmsd,non_target_rgroup_rmsd,target_rgroup_rmsd,delta_angstrom,severe_depth_threshold_angstrom,target_num_clash_pairs,target_num_severe_pairs,target_total_score,target_max_depth,target_score_ratio_valid,target_score_ratio_all,non_target_num_severe_pairs,scaffold_num_severe_pairs,num_total_severe_pairs,total_clash_score,max_clash_depth,predicted_dominant_region_all,predicted_dominant_valid_rgroup,dominant_ratio_all_regions,dominant_ratio_valid_rgroups,failure_type,recommended_action,top_valid_rgroups_json,top_clash_residue,delta03_status,delta04_status,delta05_status,sample_path,original_ligand_sdf,failed_ligand_sdf
case_000007,complex_crossdocked_000001,complex_crossdocked_000001,test,test,CDGT2_BACCI_28_713_0,CDGT2_BACCI_28_713_0,crossdocked_subset,torsion_perturb,complex_crossdocked_000001:R4:torsion_perturb:120.0,20260510,120.0,"[10, 11]","[[0.94713002, -0.03022123, 0.31942347, 0.0], [0.26438734, -0.49052715, -0.83035082, 0.0], [0.18178011, 0.8709017, -0.4566029, 0.0], [0.0, 0.0, 0.0, 1.0]]",R4,"[10, 11]",5,10,9,duplicate_removed,hard,near_miss_contact,duplicate_removed,target_severe_pairs_below_threshold,,,case_000006,True,True,True,True,True,True,0,MMFF,606.4413997306852,606.4413997306852,0.0,True,record_only,0.0,0.0,0.0,0.4,0.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,no_clash,no_repair_needed,[],,no_target_severe,no_target_severe,no_target_severe,samples/case_000007.pkl,ligands/case_000007_original.sdf,ligands/case_000007_failed.sdf
case_000008,complex_crossdocked_000001,complex_crossdocked_000001,test,test,CDGT2_BACCI_28_713_0,CDGT2_BACCI_28_713_0,crossdocked_subset,torsion_perturb,complex_crossdocked_000001:R4:torsion_perturb:180.0,20260510,180.0,"[10, 11]","[[0.92950672, 0.15611075, 0.33413571, 0.0], [0.15611075, -0.98736954, 0.02703395, 0.0], [0.33413571, 0.02703395, -0.94213718, 0.0], [0.0, 0.0, 0.0, 1.0]]",R4,"[10, 11]",5,10,9,duplicate_removed,hard,near_miss_contact,duplicate_removed,target_severe_pairs_below_threshold,,,case_000006,True,True,True,True,True,True,0,MMFF,606.4413997306852,606.4413997306852,0.0,True,record_only,0.0,0.0,0.0,0.4,0.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,no_clash,no_repair_needed,[],,no_target_severe,no_target_severe,no_target_severe,samples/case_000008.pkl,ligands/case_000008_original.sdf,ligands/case_000008_failed.sdf
case_000009,complex_crossdocked_000001,complex_crossdocked_000001,test,test,CDGT2_BACCI_28_713_0,CDGT2_BACCI_28_713_0,crossdocked_subset,torsion_perturb,complex_crossdocked_000001:R4:torsion_perturb:240.0,20260510,240.0,"[10, 11]","[[0.94713002, 0.26438734, 0.18178011, 0.0], [-0.03022123, -0.49052715, 0.8709017, 0.0], [0.31942347, -0.83035082, -0.4566029, 0.0], [0.0, 0.0, 0.0, 1.0]]",R4,"[10, 11]",5,10,9,duplicate_removed,hard,near_miss_contact,duplicate_removed,target_severe_pairs_below_threshold,,,case_000006,True,True,True,True,True,True,0,MMFF,606.4413997306852,606.4413997306852,0.0,True,record_only,0.0,0.0,0.0,0.4,0.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,no_clash,no_repair_needed,[],,no_target_severe,no_target_severe,no_target_severe,samples/case_000009.pkl,ligands/case_000009_original.sdf,ligands/case_000009_failed.sdf
case_000010,complex_crossdocked_000001,complex_crossdocked_000001,test,test,CDGT2_BACCI_28_713_0,CDGT2_BACCI_28_713_0,crossdocked_subset,torsion_perturb,complex_crossdocked_000001:R4:torsion_perturb:300.0,20260510,300.0,"[10, 11]","[[0.98237669, 0.18633197, 0.01471225, 0.0], [-0.10827661, 0.50315762, 0.85738474, 0.0], [0.15235561, -0.84386778, 0.51446569, 0.0], [0.0, 0.0, 0.0, 1.0]]",R4,"[10, 11]",5,10,9,duplicate_removed,hard,near_miss_contact,duplicate_removed,target_severe_pairs_below_threshold,,,case_000006,True,True,True,True,True,True,0,MMFF,606.4413997306852,606.4413997306852,0.0,True,record_only,0.0,0.0,0.0,0.4,0.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,no_clash,no_repair_needed,[],,no_target_severe,no_target_severe,no_target_severe,samples/case_000010.pkl,ligands/case_000010_original.sdf,ligands/case_000010_failed.sdf
case_000011,complex_crossdocked_000001,complex_crossdocked_000001,test,test,CDGT2_BACCI_28_713_0,CDGT2_BACCI_28_713_0,crossdocked_subset,directed_clash,complex_crossdocked_000001:R4:directed_clash:180.0,20260510,180.0,"[5, 10]","[[-0.51290286, 0.23436058, -0.82583642, 0.0], [0.23436058, -0.88724041, -0.39734066, 0.0], [-0.82583642, -0.39734066, 0.40014324, 0.0], [0.0, 0.0, 0.0, 1.0]]",R4,"[10, 11]",5,10,9,duplicate_removed,hard,near_miss_contact,duplicate_removed,target_severe_pairs_below_threshold,,,case_000003,True,True,True,True,True,True,0,MMFF,606.4413997306852,611.6262935207045,5.1848937900192595,True,record_only,0.0,0.0,1.8916786909103394,0.4,0.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,no_clash,no_repair_needed,[],,no_target_severe,no_target_severe,no_target_severe,samples/case_000011.pkl,ligands/case_000011_original.sdf,ligands/case_000011_failed.sdf
case_000014,complex_crossdocked_000001,complex_crossdocked_000001,test,test,CDGT2_BACCI_28_713_0,CDGT2_BACCI_28_713_0,crossdocked_subset,directed_clash,complex_crossdocked_000001:R4:directed_clash:120.0,20260510,120.0,"[5, 10]","[[-0.13467713, 0.90037632, -0.41374451, 0.0], [-0.54883546, -0.41543031, -0.72539455, 0.0], [-0.82501012, 0.12938361, 0.55010742, 0.0], [0.0, 0.0, 0.0, 1.0]]",R4,"[10, 11]",5,10,9,duplicate_removed,hard,near_miss_contact,duplicate_removed,target_severe_pairs_below_threshold,,,case_000002,True,True,True,True,True,True,0,MMFF,606.4413997306852,607.0990453472622,0.6576456165769287,True,record_only,0.0,0.0,1.6382416486740112,0.4,0.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,no_clash,no_repair_needed,[],,no_target_severe,no_target_severe,no_target_severe,samples/case_000014.pkl,ligands/case_000014_original.sdf,ligands/case_000014_failed.sdf
case_000015,complex_crossdocked_000001,complex_crossdocked_000001,test,test,CDGT2_BACCI_28_713_0,CDGT2_BACCI_28_713_0,crossdocked_subset,directed_clash,complex_crossdocked_000001:R4:directed_clash:240.0,20260510,240.0,"[5, 10]","[[-0.13467713, -0.54883546, -0.82501012, 0.0], [0.90037632, -0.41543031, 0.12938361, 0.0], [-0.41374451, -0.72539455, 0.55010742, 0.0], [0.0, 0.0, 0.0, 1.0]]",R4,"[10, 11]",5,10,9,duplicate_removed,hard,near_miss_contact,duplicate_removed,target_severe_pairs_below_threshold,,,case_000004,True,True,True,True,True,True,0,MMFF,606.4413997306852,609.2562612510333,2.8148615203480176,True,record_only,0.0,0.0,1.6382421255111694,0.4,0.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,no_clash,no_repair_needed,[],,no_target_severe,no_target_severe,no_target_severe,samples/case_000015.pkl,ligands/case_000015_original.sdf,ligands/case_000015_failed.sdf
case_000017,complex_crossdocked_000001,complex_crossdocked_000001,test,test,CDGT2_BACCI_28_713_0,CDGT2_BACCI_28_713_0,crossdocked_subset,directed_clash,complex_crossdocked_000001:R4:directed_clash:60.0,20260510,60.0,"[5, 10]","[[0.62177432, 0.78319603, -0.00082631, 0.0], [-0.66601574, 0.5281899, -0.52672428, 0.0], [-0.41209191, 0.32805392, 0.85003579, 0.0], [0.0, 0.0, 0.0, 1.0]]",R4,"[10, 11]",5,10,9,duplicate_removed,hard,near_miss_contact,duplicate_removed,target_severe_pairs_below_threshold,,,case_000001,True,True,True,True,True,True,0,MMFF,606.4413997306852,607.2333517853685,0.7919520546832928,True,record_only,0.0,0.0,0.9458410143852234,0.4,0.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,no_clash,no_repair_needed,[],,no_target_severe,no_target_severe,no_target_severe,samples/case_000017.pkl,ligands/case_000017_original.sdf,ligands/case_000017_failed.sdf
case_000025,complex_crossdocked_000001,complex_crossdocked_000001,test,test,CDGT2_BACCI_28_713_0,CDGT2_BACCI_28_713_0,crossdocked_subset,torsion_perturb,complex_crossdocked_000001:R8:torsion_perturb:120.0,20260510,120.0,"[21, 22]","[[0.34002572, -0.92960584, 0.14218134, 0.0], [-0.37341133, 0.00529812, 0.92765075, 0.0], [-0.86310279, -0.36851725, -0.34532386, 0.0], [0.0, 0.0, 0.0, 1.0]]",R8,"[21, 22]",16,21,21,duplicate_removed,hard,near_miss_contact,duplicate_removed,target_severe_pairs_below_threshold,,,case_000024,True,True,True,True,True,True,0,MMFF,606.4413997306852,606.4413997306852,0.0,True,record_only,0.0,0.0,0.0,0.4,0.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,no_clash,no_repair_needed,[],,no_target_severe,no_target_severe,no_target_severe,samples/case_000025.pkl,ligands/case_000025_original.sdf,ligands/case_000025_failed.sdf
case_000026,complex_crossdocked_000001,complex_crossdocked_000001,test,test,CDGT2_BACCI_28_713_0,CDGT2_BACCI_28_713_0,crossdocked_subset,torsion_perturb,complex_crossdocked_000001:R8:torsion_perturb:180.0,20260510,180.0,"[21, 22]","[[0.1200343, -0.86867809, -0.48061433, 0.0], [-0.86867809, -0.32626918, 0.37275568, 0.0], [-0.48061433, 0.37275568, -0.79376513, 0.0], [0.0, 0.0, 0.0, 1.0]]",R8,"[21, 22]",16,21,21,duplicate_removed,hard,near_miss_contact,duplicate_removed,target_severe_pairs_below_threshold,,,case_000024,True,True,True,True,True,True,0,MMFF,606.4413997306852,606.4413997306852,0.0,True,record_only,0.0,0.0,0.0,0.4,0.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,no_clash,no_repair_needed,[],,no_target_severe,no_target_severe,no_target_severe,samples/case_000026.pkl,ligands/case_000026_original.sdf,ligands/case_000026_failed.sdf
