case_id,oracle_split,injection_mode,target_rgroup,forcefield_type,energy_original,energy_failed,energy_delta,energy_delta_percentile,energy_delta_strict_pass,energy_delta_outlier_flag,ligand_valid,ligand_internal_severe_clash_count,target_num_severe_pairs,max_clash_depth,visual_qc_recommended,sample_path,failed_ligand_sdf
case_002195,near_miss_contact,directed_clash,R3,MMFF,921470915586.231,970675789821.7006,49204874235.469604,1.0,False,abs_delta_ge_p95_or_50,True,0,0,0.0,True,samples/case_002195.pkl,ligands/case_002195_failed.sdf
case_001707,near_miss_contact,directed_clash,R2,MMFF,925470993775.9862,974634220654.7706,49163226878.784424,0.9996039603960396,False,abs_delta_ge_p95_or_50,True,0,0,0.20619440078735352,True,samples/case_001707.pkl,ligands/case_001707_failed.sdf
case_001546,near_miss_contact,directed_clash,R2,MMFF,925255351893.3932,973854673555.3733,48599321661.9801,0.9992079207920792,False,abs_delta_ge_p95_or_50,True,0,0,0.15852808952331543,True,samples/case_001546.pkl,ligands/case_001546_failed.sdf
case_001695,near_miss_contact,easy_rotation,R2,MMFF,925470993775.9862,974061188519.0732,48590194743.087036,0.9988118811881188,False,abs_delta_ge_p95_or_50,True,0,0,0.14452195167541504,True,samples/case_001695.pkl,ligands/case_001695_failed.sdf
case_001762,near_miss_contact,directed_clash,R2,MMFF,925794482830.757,974052799376.0803,48258316545.323364,0.9984158415841584,False,abs_delta_ge_p95_or_50,True,0,0,0.2149643898010254,True,samples/case_001762.pkl,ligands/case_001762_failed.sdf
case_001533,near_miss_contact,easy_rotation,R2,MMFF,925255351893.3932,973404076289.0989,48148724395.70569,0.998019801980198,False,abs_delta_ge_p95_or_50,True,0,0,0.018498897552490234,True,samples/case_001533.pkl,ligands/case_001533_failed.sdf
case_002194,duplicate_removed,directed_clash,R3,MMFF,921470915586.231,969452490579.3594,47981574993.12842,0.9974257425742574,False,abs_delta_ge_p95_or_50,True,0,0,0.0,True,samples/case_002194.pkl,ligands/case_002194_failed.sdf
case_002181,near_miss_contact,easy_rotation,R3,MMFF,921470915586.231,969452490579.3594,47981574993.12842,0.9974257425742574,False,abs_delta_ge_p95_or_50,True,0,0,0.0,True,samples/case_002181.pkl,ligands/case_002181_failed.sdf
case_001749,near_miss_contact,easy_rotation,R2,MMFF,925794482830.757,973692176551.8959,47897693721.138916,0.9968316831683168,False,abs_delta_ge_p95_or_50,True,0,0,0.0,True,samples/case_001749.pkl,ligands/case_001749_failed.sdf
case_002355,near_miss_contact,directed_clash,R2,MMFF,922050999583.6768,969762027885.5371,47711028301.86035,0.9964356435643564,False,abs_delta_ge_p95_or_50,True,0,0,0.16759037971496582,True,samples/case_002355.pkl,ligands/case_002355_failed.sdf
case_001923,near_miss_contact,directed_clash,R2,MMFF,926184912800.5178,973709572231.1345,47524659430.6167,0.996039603960396,False,abs_delta_ge_p95_or_50,True,0,0,0.1626732349395752,True,samples/case_001923.pkl,ligands/case_001923_failed.sdf
case_002246,near_miss_contact,directed_clash,R3,MMFF,926880189897.7926,974166442507.7742,47286252609.98157,0.9956435643564356,False,abs_delta_ge_p95_or_50,True,0,0,0.2233715057373047,True,samples/case_002246.pkl,ligands/case_002246_failed.sdf
case_001867,near_miss_contact,directed_clash,R2,MMFF,928548059444.3755,975754955649.1294,47206896204.75391,0.9952475247524752,False,abs_delta_ge_p95_or_50,True,0,0,0.16147565841674805,True,samples/case_001867.pkl,ligands/case_001867_failed.sdf
case_001926,duplicate_removed,directed_clash,R2,MMFF,926184912800.5178,972822652103.3395,46637739302.821655,0.9946534653465346,False,abs_delta_ge_p95_or_50,True,0,0,0.10956859588623047,True,samples/case_001926.pkl,ligands/case_001926_failed.sdf
case_001911,near_miss_contact,easy_rotation,R2,MMFF,926184912800.5178,972822652103.3395,46637739302.821655,0.9946534653465346,False,abs_delta_ge_p95_or_50,True,0,0,0.10956859588623047,True,samples/case_001911.pkl,ligands/case_001911_failed.sdf
case_001491,near_miss_contact,directed_clash,R2,MMFF,927352205829.1721,973980294285.9718,46628088456.79968,0.994059405940594,False,abs_delta_ge_p95_or_50,True,0,0,0.014782905578613281,True,samples/case_001491.pkl,ligands/case_001491_failed.sdf
case_002249,duplicate_removed,directed_clash,R3,MMFF,926880189897.7926,973038916517.1287,46158726619.33606,0.9934653465346535,False,abs_delta_ge_p95_or_50,True,0,0,0.0,True,samples/case_002249.pkl,ligands/case_002249_failed.sdf
case_002235,near_miss_contact,easy_rotation,R3,MMFF,926880189897.7926,973038916517.1287,46158726619.33606,0.9934653465346535,False,abs_delta_ge_p95_or_50,True,0,0,0.0,True,samples/case_002235.pkl,ligands/case_002235_failed.sdf
case_002343,near_miss_contact,easy_rotation,R2,MMFF,922050999583.6768,968044431372.104,45993431788.427246,0.9926732673267327,False,abs_delta_ge_p95_or_50,True,0,0,0.0323944091796875,True,samples/case_002343.pkl,ligands/case_002343_failed.sdf
case_002358,duplicate_removed,directed_clash,R2,MMFF,922050999583.6768,968044431372.104,45993431788.427246,0.9926732673267327,False,abs_delta_ge_p95_or_50,True,0,0,0.0323944091796875,True,samples/case_002358.pkl,ligands/case_002358_failed.sdf
case_001641,near_miss_contact,easy_rotation,R3,MMFF,925006539986.4451,970915531285.0366,45908991298.59155,0.9920792079207921,False,abs_delta_ge_p95_or_50,True,0,0,0.0,True,samples/case_001641.pkl,ligands/case_001641_failed.sdf
case_001653,near_miss_contact,directed_clash,R3,MMFF,925006539986.4451,970620179432.9391,45613639446.49402,0.9916831683168317,False,abs_delta_ge_p95_or_50,True,0,0,0.2737715244293213,True,samples/case_001653.pkl,ligands/case_001653_failed.sdf
case_002019,near_miss_contact,easy_rotation,R3,MMFF,927039772095.8596,972319035512.8284,45279263416.96875,0.9912871287128713,False,abs_delta_ge_p95_or_50,True,0,0,0.0,True,samples/case_002019.pkl,ligands/case_002019_failed.sdf
case_002086,near_miss_contact,directed_clash,R3,MMFF,925127458356.7124,970323734472.1194,45196276115.40698,0.9908910891089109,False,abs_delta_ge_p95_or_50,True,0,0,0.08155202865600586,True,samples/case_002086.pkl,ligands/case_002086_failed.sdf
case_002032,near_miss_contact,directed_clash,R3,MMFF,927039772095.8596,972158319995.1575,45118547899.29785,0.9904950495049505,False,abs_delta_ge_p95_or_50,True,0,0,0.32548999786376953,True,samples/case_002032.pkl,ligands/case_002032_failed.sdf
case_001493,duplicate_removed,directed_clash,R2,MMFF,927352205829.1721,972251046427.9323,44898840598.76013,0.9899009900990099,False,abs_delta_ge_p95_or_50,True,0,0,0.14951086044311523,True,samples/case_001493.pkl,ligands/case_001493_failed.sdf
case_001479,near_miss_contact,easy_rotation,R2,MMFF,927352205829.1721,972251046427.9323,44898840598.76013,0.9899009900990099,False,abs_delta_ge_p95_or_50,True,0,0,0.14951086044311523,True,samples/case_001479.pkl,ligands/case_001479_failed.sdf
case_002300,near_miss_contact,directed_clash,R3,MMFF,926600409459.6487,971427482225.8195,44827072766.17078,0.9893069306930693,False,abs_delta_ge_p95_or_50,True,0,0,0.3248915672302246,True,samples/case_002300.pkl,ligands/case_002300_failed.sdf
case_001857,near_miss_contact,easy_rotation,R2,MMFF,928548059444.3755,973067336592.3859,44519277148.010376,0.9887128712871287,False,abs_delta_ge_p95_or_50,True,0,0,0.19028139114379883,True,samples/case_001857.pkl,ligands/case_001857_failed.sdf
case_001870,duplicate_removed,directed_clash,R2,MMFF,928548059444.3755,973067336592.3859,44519277148.010376,0.9887128712871287,False,abs_delta_ge_p95_or_50,True,0,0,0.19028139114379883,True,samples/case_001870.pkl,ligands/case_001870_failed.sdf
case_002289,near_miss_contact,easy_rotation,R3,MMFF,926600409459.6487,970417014470.9536,43816605011.30493,0.9879207920792079,False,abs_delta_ge_p95_or_50,True,0,0,0.0,True,samples/case_002289.pkl,ligands/case_002289_failed.sdf
case_002304,duplicate_removed,directed_clash,R3,MMFF,926600409459.6487,970417014470.9536,43816605011.30493,0.9879207920792079,False,abs_delta_ge_p95_or_50,True,0,0,0.0,True,samples/case_002304.pkl,ligands/case_002304_failed.sdf
case_002191,invalid_conformer,directed_clash,R3,MMFF,921470915586.231,965065530297.9664,43594614711.73547,0.9871287128712871,False,abs_delta_ge_p95_or_50,False,1,1,0.5423212051391602,True,samples/case_002191.pkl,ligands/case_002191_failed.sdf
case_002182,invalid_conformer,easy_rotation,R3,MMFF,921470915586.231,965065530297.9664,43594614711.73547,0.9871287128712871,False,abs_delta_ge_p95_or_50,False,1,1,0.5423212051391602,True,samples/case_002182.pkl,ligands/case_002182_failed.sdf
