case_id,base_sample_id,base_complex_id,base_split,derived_split,split_group,target_id,source_dataset,injection_mode,attempt_id,seed,rotation_angle_deg,rotation_axis_atom_pair,transform_matrix,target_rgroup,target_atom_indices,anchor_scaffold_atom_idx,anchor_rgroup_atom_idx,anchor_bond_idx,oracle_split,difficulty_bin,difficulty_reason,acceptance_status,reject_reason,unsupported_reason,invalid_reason,duplicate_of,ligand_valid,rdkit_sanitize_ok,rotatable_bond_valid,anchor_integrity_pass,bond_length_valid,chirality_preserved,ligand_internal_severe_clash_count,forcefield_type,energy_original,energy_failed,energy_delta,energy_delta_pass,energy_check_status,scaffold_rmsd,non_target_rgroup_rmsd,target_rgroup_rmsd,delta_angstrom,severe_depth_threshold_angstrom,target_num_clash_pairs,target_num_severe_pairs,target_total_score,target_max_depth,target_score_ratio_valid,target_score_ratio_all,non_target_num_severe_pairs,scaffold_num_severe_pairs,num_total_severe_pairs,total_clash_score,max_clash_depth,predicted_dominant_region_all,predicted_dominant_valid_rgroup,dominant_ratio_all_regions,dominant_ratio_valid_rgroups,failure_type,recommended_action,top_valid_rgroups_json,top_clash_residue,delta03_status,delta04_status,delta05_status,sample_path,original_ligand_sdf,failed_ligand_sdf
case_001500,complex_crossdocked_000031,complex_crossdocked_000031,train,train,SMYD2_HUMAN_2_433_0,SMYD2_HUMAN_2_433_0,crossdocked_subset,torsion_perturb,complex_crossdocked_000031:R3:torsion_perturb:60.0,20260510,60.0,[],"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]",R3,"[21, 22]",20,21,23,unsupported,unsupported,unsupported_attempt,unsupported,,no_internal_rotatable_torsion,,,False,False,False,False,False,False,0,unavailable,,,,True,,,,,0.4,0.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,,,[],,,,,samples/case_001500.pkl,ligands/case_001500_original.sdf,ligands/case_001500_failed.sdf
case_001501,complex_crossdocked_000031,complex_crossdocked_000031,train,train,SMYD2_HUMAN_2_433_0,SMYD2_HUMAN_2_433_0,crossdocked_subset,torsion_perturb,complex_crossdocked_000031:R3:torsion_perturb:120.0,20260510,120.0,[],"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]",R3,"[21, 22]",20,21,23,unsupported,unsupported,unsupported_attempt,unsupported,,no_internal_rotatable_torsion,,,False,False,False,False,False,False,0,unavailable,,,,True,,,,,0.4,0.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,,,[],,,,,samples/case_001501.pkl,ligands/case_001501_original.sdf,ligands/case_001501_failed.sdf
case_001502,complex_crossdocked_000031,complex_crossdocked_000031,train,train,SMYD2_HUMAN_2_433_0,SMYD2_HUMAN_2_433_0,crossdocked_subset,torsion_perturb,complex_crossdocked_000031:R3:torsion_perturb:180.0,20260510,180.0,[],"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]",R3,"[21, 22]",20,21,23,unsupported,unsupported,unsupported_attempt,unsupported,,no_internal_rotatable_torsion,,,False,False,False,False,False,False,0,unavailable,,,,True,,,,,0.4,0.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,,,[],,,,,samples/case_001502.pkl,ligands/case_001502_original.sdf,ligands/case_001502_failed.sdf
case_001503,complex_crossdocked_000031,complex_crossdocked_000031,train,train,SMYD2_HUMAN_2_433_0,SMYD2_HUMAN_2_433_0,crossdocked_subset,torsion_perturb,complex_crossdocked_000031:R3:torsion_perturb:240.0,20260510,240.0,[],"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]",R3,"[21, 22]",20,21,23,unsupported,unsupported,unsupported_attempt,unsupported,,no_internal_rotatable_torsion,,,False,False,False,False,False,False,0,unavailable,,,,True,,,,,0.4,0.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,,,[],,,,,samples/case_001503.pkl,ligands/case_001503_original.sdf,ligands/case_001503_failed.sdf
case_001504,complex_crossdocked_000031,complex_crossdocked_000031,train,train,SMYD2_HUMAN_2_433_0,SMYD2_HUMAN_2_433_0,crossdocked_subset,torsion_perturb,complex_crossdocked_000031:R3:torsion_perturb:300.0,20260510,300.0,[],"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]",R3,"[21, 22]",20,21,23,unsupported,unsupported,unsupported_attempt,unsupported,,no_internal_rotatable_torsion,,,False,False,False,False,False,False,0,unavailable,,,,True,,,,,0.4,0.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,,,[],,,,,samples/case_001504.pkl,ligands/case_001504_original.sdf,ligands/case_001504_failed.sdf
case_001554,complex_crossdocked_000032,complex_crossdocked_000032,train,train,SMYD2_HUMAN_2_433_0,SMYD2_HUMAN_2_433_0,crossdocked_subset,torsion_perturb,complex_crossdocked_000032:R3:torsion_perturb:60.0,20260510,60.0,[],"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]",R3,"[21, 22]",20,21,23,unsupported,unsupported,unsupported_attempt,unsupported,,no_internal_rotatable_torsion,,,False,False,False,False,False,False,0,unavailable,,,,True,,,,,0.4,0.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,,,[],,,,,samples/case_001554.pkl,ligands/case_001554_original.sdf,ligands/case_001554_failed.sdf
case_001555,complex_crossdocked_000032,complex_crossdocked_000032,train,train,SMYD2_HUMAN_2_433_0,SMYD2_HUMAN_2_433_0,crossdocked_subset,torsion_perturb,complex_crossdocked_000032:R3:torsion_perturb:120.0,20260510,120.0,[],"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]",R3,"[21, 22]",20,21,23,unsupported,unsupported,unsupported_attempt,unsupported,,no_internal_rotatable_torsion,,,False,False,False,False,False,False,0,unavailable,,,,True,,,,,0.4,0.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,,,[],,,,,samples/case_001555.pkl,ligands/case_001555_original.sdf,ligands/case_001555_failed.sdf
case_001556,complex_crossdocked_000032,complex_crossdocked_000032,train,train,SMYD2_HUMAN_2_433_0,SMYD2_HUMAN_2_433_0,crossdocked_subset,torsion_perturb,complex_crossdocked_000032:R3:torsion_perturb:180.0,20260510,180.0,[],"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]",R3,"[21, 22]",20,21,23,unsupported,unsupported,unsupported_attempt,unsupported,,no_internal_rotatable_torsion,,,False,False,False,False,False,False,0,unavailable,,,,True,,,,,0.4,0.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,,,[],,,,,samples/case_001556.pkl,ligands/case_001556_original.sdf,ligands/case_001556_failed.sdf
case_001557,complex_crossdocked_000032,complex_crossdocked_000032,train,train,SMYD2_HUMAN_2_433_0,SMYD2_HUMAN_2_433_0,crossdocked_subset,torsion_perturb,complex_crossdocked_000032:R3:torsion_perturb:240.0,20260510,240.0,[],"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]",R3,"[21, 22]",20,21,23,unsupported,unsupported,unsupported_attempt,unsupported,,no_internal_rotatable_torsion,,,False,False,False,False,False,False,0,unavailable,,,,True,,,,,0.4,0.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,,,[],,,,,samples/case_001557.pkl,ligands/case_001557_original.sdf,ligands/case_001557_failed.sdf
case_001558,complex_crossdocked_000032,complex_crossdocked_000032,train,train,SMYD2_HUMAN_2_433_0,SMYD2_HUMAN_2_433_0,crossdocked_subset,torsion_perturb,complex_crossdocked_000032:R3:torsion_perturb:300.0,20260510,300.0,[],"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]",R3,"[21, 22]",20,21,23,unsupported,unsupported,unsupported_attempt,unsupported,,no_internal_rotatable_torsion,,,False,False,False,False,False,False,0,unavailable,,,,True,,,,,0.4,0.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,,,[],,,,,samples/case_001558.pkl,ligands/case_001558_original.sdf,ligands/case_001558_failed.sdf
