case_id,oracle_split,injection_mode,target_rgroup,target_num_severe_pairs,non_target_num_severe_pairs,scaffold_num_severe_pairs,max_clash_depth,energy_delta,top_clash_residue,asset_dir,num_render_tasks,num_clear_views,candidate_directions,displacement_axis_min_angle_degrees,displacement_axis_max_angle_degrees,manual_qc_status
case_000717,ambiguous_region,directed_clash,R2,1,0,0,0.6043322086334229,-22187433.872817997,A:305::LEU,runs/phase2_visual_qc/case_000717,48,12,1024,30.0,90.0,sampled_visual_qc_passed_with_minor_caveats
case_000718,ambiguous_region,directed_clash,R2,1,0,0,0.5851912498474121,39418631.82694245,A:305::LEU,runs/phase2_visual_qc/case_000718,48,12,1024,30.0,90.0,sampled_visual_qc_passed_with_minor_caveats
case_000921,global_pose_failure,easy_rotation,R3,8,0,0,1.9607264995574951,65.75688268473186,A:441::LYS,runs/phase2_visual_qc/case_000921,48,12,1024,30.0,90.0,sampled_visual_qc_passed_with_minor_caveats
case_000957,global_pose_failure,easy_rotation,R5,4,0,0,1.8938319683074951,48.99686622905273,A:140::LYS,runs/phase2_visual_qc/case_000957,48,12,1024,30.0,90.0,sampled_visual_qc_passed_with_minor_caveats
case_001029,global_pose_failure,easy_rotation,R3,5,0,0,2.183291435241699,39.65952553038164,A:140::LYS,runs/phase2_visual_qc/case_001029,48,12,1024,30.0,90.0,sampled_visual_qc_passed_with_minor_caveats
case_000029,invalid_conformer,directed_clash,R8,0,0,0,0.0,35.972441077498274,,runs/phase2_visual_qc/case_000029,48,12,1024,30.0,90.0,sampled_visual_qc_passed_with_minor_caveats
case_000070,invalid_conformer,directed_clash,R8,0,0,0,0.0,43.32264622287824,,runs/phase2_visual_qc/case_000070,48,12,1024,30.0,90.0,sampled_visual_qc_passed_with_minor_caveats
case_000019,invalid_conformer,easy_rotation,R8,0,0,0,0.0,35.972441077498274,,runs/phase2_visual_qc/case_000019,48,12,1024,30.0,90.0,sampled_visual_qc_passed_with_minor_caveats
case_000057,invalid_conformer,easy_rotation,R8,0,0,0,0.0,43.32264622287824,,runs/phase2_visual_qc/case_000057,48,12,1024,30.0,90.0,sampled_visual_qc_passed_with_minor_caveats
case_000093,invalid_conformer,easy_rotation,R8,0,0,0,0.0,30.19564985767795,,runs/phase2_visual_qc/case_000093,48,12,1024,30.0,90.0,sampled_visual_qc_passed_with_minor_caveats
case_000001,near_miss_contact,easy_rotation,R4,0,0,0,0.0,0.7919520546832928,,runs/phase2_visual_qc/case_000001,48,12,1024,30.0,90.0,sampled_visual_qc_passed_with_minor_caveats
case_000002,near_miss_contact,easy_rotation,R4,0,0,0,0.0,0.6576456165769287,,runs/phase2_visual_qc/case_000002,48,12,1024,30.0,90.0,sampled_visual_qc_passed_with_minor_caveats
case_000003,near_miss_contact,easy_rotation,R4,0,0,0,0.0,5.18489379001926,,runs/phase2_visual_qc/case_000003,48,12,1024,30.0,90.0,sampled_visual_qc_passed_with_minor_caveats
