case_id,view,angle,script_path,image_path,status,returncode,stderr_tail,camera_score,camera_focus,camera_target,camera_target_mode,displacement_axis_angle_degrees,displacement_axis_angle_gate_pass,ligand_occluded_fraction,center_line_blocked,camera_direction,camera_selection_tier,candidate_directions,interest_occluded_fraction,key_occluded_fraction,projection_area_score,interest_area_score,render_action
case_000001,clash_pair_vdw,clear_01,runs/phase2_visual_qc/case_000001/scripts/clash_pair_vdw_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/clash_pair_vdw_clear_01.png,rendered,0,,8.686676,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,57.56627,True,0.0,False,"0.504540,-0.862305,0.043247",strict,1024,0.1,0.185185,0.865951,0.864507,existing_before_incremental
case_000001,clash_pair_vdw,clear_02,runs/phase2_visual_qc/case_000001/scripts/clash_pair_vdw_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/clash_pair_vdw_clear_02.png,rendered,0,,8.655742,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,31.603633,True,0.0,False,"0.044183,0.999023,0.000000",strict,1024,0.04,0.074074,0.910283,0.951465,existing_before_incremental
case_000001,clash_pair_vdw,clear_03,runs/phase2_visual_qc/case_000001/scripts/clash_pair_vdw_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/clash_pair_vdw_clear_03.png,rendered,0,,8.43118,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,52.336166,True,0.0,False,"0.542743,-0.723633,-0.426363",strict,1024,0.04,0.074074,0.620718,0.734191,existing_before_incremental
case_000001,clash_pair_vdw,clear_04,runs/phase2_visual_qc/case_000001/scripts/clash_pair_vdw_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/clash_pair_vdw_clear_04.png,rendered,0,,8.389037,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,51.712101,True,0.0,False,"0.229785,0.872070,-0.432079",strict,1024,0.04,0.074074,0.87742,0.923258,existing_before_incremental
case_000001,clash_pair_vdw,clear_05,runs/phase2_visual_qc/case_000001/scripts/clash_pair_vdw_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/clash_pair_vdw_clear_05.png,rendered,0,,8.205606,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,79.708329,True,0.0,False,"0.569372,-0.678711,0.463861",strict,1024,0.12,0.222222,0.789762,0.773609,existing_before_incremental
case_000001,clash_pair_vdw,clear_06,runs/phase2_visual_qc/case_000001/scripts/clash_pair_vdw_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/clash_pair_vdw_clear_06.png,rendered,0,,7.946318,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,51.236934,True,0.0,False,"0.380423,-0.493164,-0.782347",strict,1024,0.1,0.185185,0.573651,0.676656,existing_before_incremental
case_000001,clash_pair_vdw,clear_07,runs/phase2_visual_qc/case_000001/scripts/clash_pair_vdw_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/clash_pair_vdw_clear_07.png,rendered,0,,7.823548,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,77.786139,True,0.0,False,"0.849056,-0.499023,-0.173436",strict,1024,0.0,0.0,0.485707,0.582385,existing_before_incremental
case_000001,clash_pair_vdw,clear_08,runs/phase2_visual_qc/case_000001/scripts/clash_pair_vdw_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/clash_pair_vdw_clear_08.png,rendered,0,,7.735169,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,31.389092,True,0.0,False,"0.492866,0.866211,-0.082230",strict,1024,0.04,0.074074,0.703904,0.784005,existing_before_incremental
case_000001,clash_pair_vdw,clear_09,runs/phase2_visual_qc/case_000001/scripts/clash_pair_vdw_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/clash_pair_vdw_clear_09.png,rendered,0,,7.480915,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,56.807251,True,0.0,False,"0.619923,0.641602,-0.451711",strict,1024,0.02,0.037037,0.571655,0.666744,existing_before_incremental
case_000001,clash_pair_vdw,clear_10,runs/phase2_visual_qc/case_000001/scripts/clash_pair_vdw_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/clash_pair_vdw_clear_10.png,rendered,0,,7.471614,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,84.520516,True,0.0,False,"0.879049,-0.381836,0.285437",strict,1024,0.06,0.111111,0.549665,0.585601,existing_before_incremental
case_000001,clash_pair_vdw,clear_11,runs/phase2_visual_qc/case_000001/scripts/clash_pair_vdw_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/clash_pair_vdw_clear_11.png,rendered,0,,7.450025,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,76.981241,True,0.0,False,"0.764607,-0.268555,-0.585880",strict,1024,0.02,0.037037,0.407594,0.522879,existing_before_incremental
case_000001,clash_pair_vdw,clear_12,runs/phase2_visual_qc/case_000001/scripts/clash_pair_vdw_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/clash_pair_vdw_clear_12.png,rendered,0,,7.415155,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,77.2985,True,0.0,False,"0.351563,0.524414,-0.775496",strict,1024,0.08,0.148148,0.608971,0.618398,existing_before_incremental
case_000001,ligand_delta,clear_01,runs/phase2_visual_qc/case_000001/scripts/ligand_delta_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/ligand_delta_clear_01.png,rendered,0,,6.0,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,39.605389,True,0.0,False,"-0.074527,-0.981445,0.176666",strict,1024,0.0,0.0,1.0,1.0,existing_before_incremental
case_000001,ligand_delta,clear_02,runs/phase2_visual_qc/case_000001/scripts/ligand_delta_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/ligand_delta_clear_02.png,rendered,0,,5.984383,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,38.988339,True,0.0,False,"-0.130269,0.991211,-0.023043",strict,1024,0.0,0.0,0.997397,0.997397,existing_before_incremental
case_000001,ligand_delta,clear_03,runs/phase2_visual_qc/case_000001/scripts/ligand_delta_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/ligand_delta_clear_03.png,rendered,0,,5.366379,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,62.789327,True,0.0,False,"0.522578,-0.836914,0.162747",strict,1024,0.0,0.0,0.894396,0.894396,existing_before_incremental
