candidate_budget_k,funnel_step,count,denominator,rate
8,attempted_cases,40,40,1.0
8,execution_success,39,40,0.975
8,generated_candidates,312,312,1.0
8,candidate_readable,312,312,1.0
8,ligand_valid,270,312,0.8653846153846154
8,fixed_structure_match_success,312,312,1.0
8,anchor_match_success,312,312,1.0
8,local_reconnect_pass,0,312,0.0
8,anchor_integrity,114,312,0.36538461538461536
8,old_clash_resolved,30,312,0.09615384615384616
8,no_new_severe_clash,30,312,0.09615384615384616
8,scaffold_stable,32,312,0.10256410256410256
8,keep_region_stable,312,312,1.0
8,edit_compliance,32,312,0.10256410256410256
8,pocket_retention,32,312,0.10256410256410256
8,reliable_repair_success,10,312,0.03205128205128205
16,attempted_cases,40,40,1.0
16,execution_success,39,40,0.975
16,generated_candidates,624,624,1.0
16,candidate_readable,624,624,1.0
16,ligand_valid,565,624,0.905448717948718
16,fixed_structure_match_success,624,624,1.0
16,anchor_match_success,624,624,1.0
16,local_reconnect_pass,0,624,0.0
16,anchor_integrity,217,624,0.34775641025641024
16,old_clash_resolved,61,624,0.09775641025641026
16,no_new_severe_clash,66,624,0.10576923076923077
16,scaffold_stable,67,624,0.10737179487179487
16,keep_region_stable,624,624,1.0
16,edit_compliance,67,624,0.10737179487179487
16,pocket_retention,67,624,0.10737179487179487
16,reliable_repair_success,14,624,0.022435897435897436
32,attempted_cases,40,40,1.0
32,execution_success,39,40,0.975
32,generated_candidates,1248,1248,1.0
32,candidate_readable,1248,1248,1.0
32,ligand_valid,1092,1248,0.875
32,fixed_structure_match_success,1248,1248,1.0
32,anchor_match_success,1248,1248,1.0
32,local_reconnect_pass,0,1248,0.0
32,anchor_integrity,461,1248,0.36939102564102566
32,old_clash_resolved,104,1248,0.08333333333333333
32,no_new_severe_clash,110,1248,0.08814102564102565
32,scaffold_stable,113,1248,0.09054487179487179
32,keep_region_stable,1248,1248,1.0
32,edit_compliance,113,1248,0.09054487179487179
32,pocket_retention,113,1248,0.09054487179487179
32,reliable_repair_success,24,1248,0.019230769230769232
