metric,phase4_0_diffsbdd_conditional_overall,phase4_0_diffsbdd_conditional_center_pocket,phase4_0_1_k8,delta_k8_vs_phase4_0_overall,delta_k8_vs_phase4_0_pocket,phase4_0_1_k16,delta_k16_vs_phase4_0_overall,delta_k16_vs_phase4_0_pocket,phase4_0_1_k32,delta_k32_vs_phase4_0_overall,delta_k32_vs_phase4_0_pocket
sample_reliable_success_count,9.0,7.0,7.0,-2.0,0.0,7.0,-2.0,0.0,10.0,1.0,3.0
sample_reliable_repair_yield,0.225,0.175,0.175,-0.05000000000000002,0.0,0.175,-0.05000000000000002,0.0,0.25,0.024999999999999994,0.07500000000000001
reliable_candidate_success_count,17.0,12.0,10.0,-7.0,-2.0,14.0,-3.0,2.0,24.0,7.0,12.0
reliable_candidate_rate,0.027244,0.038461538461538464,0.03205128205128205,0.004807282051282048,-0.006410256410256415,0.022435897435897436,-0.004808102564102565,-0.016025641025641028,0.019230769230769232,-0.008013230769230769,-0.019230769230769232
anchor_integrity_rate,0.403846,0.4519230769230769,0.36538461538461536,-0.03846138461538462,-0.08653846153846156,0.34775641025641024,-0.05608958974358974,-0.10416666666666669,0.36939102564102566,-0.03445497435897432,-0.08253205128205127
local_reconnect_pass_rate,,,0.0,,,0.0,,,0.0,,
old_clash_resolved_rate,0.08333333333333333,0.07371794871794872,0.09615384615384616,0.01282051282051283,0.02243589743589744,0.09775641025641026,0.014423076923076927,0.024038461538461536,0.08333333333333333,0.0,0.009615384615384609
no_new_severe_clash_rate,0.08814102564102565,0.08012820512820513,0.09615384615384616,0.008012820512820512,0.016025641025641024,0.10576923076923077,0.01762820512820512,0.025641025641025633,0.08814102564102565,0.0,0.008012820512820512
cost_per_reliable_case,71.111111,,45.714285714285715,-25.39682528571428,,91.42857142857143,20.317460428571437,,128.0,56.888889000000006,
runtime_sec_sum,,,349.898480896838,,,462.216099944897,,,763.2587011642754,,
