source_group,candidate_budget_k,reconnect_category,count
clean_positive,0,single_anchor_reconnect_pass,40
diffsbdd_candidates,8,invalid_reconnect,269
diffsbdd_candidates,8,multi_attachment_out_of_scope,44
diffsbdd_candidates,16,invalid_reconnect,531
diffsbdd_candidates,16,multi_attachment_out_of_scope,94
diffsbdd_candidates,32,invalid_reconnect,1055
diffsbdd_candidates,32,multi_attachment_out_of_scope,194
rule_positive,8,single_anchor_reconnect_pass,227
synthetic_negative,0,invalid_reconnect,3
synthetic_negative,0,multi_attachment_out_of_scope,1
